name,min,max,cardinality,num_unique_values
name_basics.birthyear,4,2026,15100779,561
name_basics.deathyear,17,2026,15100779,508
name_basics.knownfortitles,N/A,N/A,15100779,6228631
name_basics.nconst,N/A,N/A,15100779,15100779
name_basics.primaryname,N/A,N/A,15100779,11521283
name_basics.primaryprofession,N/A,N/A,15100779,25992
title_akas.attributes,N/A,N/A,55152421,184
title_akas.isoriginaltitle,N/A,N/A,55152421,2
title_akas.language,N/A,N/A,55152421,110
title_akas.ordering,1,262,55152421,262
title_akas.region,N/A,N/A,55152421,251
title_akas.title,N/A,N/A,55152421,7791699
title_akas.titleid,N/A,N/A,55152421,12294633
title_akas.types,N/A,N/A,55152421,23
title_basics.endyear,1928,2032,12299280,98
title_basics.genres,N/A,N/A,12299280,2381
title_basics.isadult,N/A,N/A,12299280,2
title_basics.originaltitle,N/A,N/A,12299280,5533615
title_basics.primarytitle,N/A,N/A,12299280,5506252
title_basics.runtimeminutes,0,3692080,12299280,998
title_basics.startyear,1874,2115,12299280,153
title_basics.tconst,N/A,N/A,12299280,12299280
title_basics.titletype,N/A,N/A,12299280,11
title_crew.directors,N/A,N/A,12299280,998064
title_crew.tconst,N/A,N/A,12299280,12299280
title_crew.writers,N/A,N/A,12299280,1483131
title_episode.const,N/A,N/A,9493918,9493918
title_episode.episodenumber,N/A,N/A,9493918,15923
title_episode.parenttconst,N/A,N/A,9493918,232529
title_episode.seasonnumber,N/A,N/A,9493918,331
title_principals.category,N/A,N/A,97897615,13
title_principals.characters,N/A,N/A,97897615,4445000
title_principals.job,N/A,N/A,97897615,46527
title_principals.nconst,N/A,N/A,97897615,6981763
title_principals.ordering,1,75,97897615,75
title_principals.tconst,N/A,N/A,97897615,11124920
title_ratings.average_rating,1.0,10.0,1637260,91
title_ratings.num_votes,5,3157667,1637260,24246
title_ratings.tconst,N/A,N/A,1637260,1637260
